V1;CORRELA_16;CORRE_9;IDOJ1;IDAIO;CIMREP;BRUTA;CONSUI;GAS;EMPAQUE;HONORA;COMISION;ARRIENDO;SEGURO;ASEO;ENERGIA;COMUNICA;PUBLICO;FLETES;PUBLICI;ADECUA;REGALA;OUTSOURCING;OTROS;SUELDOS;PRESTAC;VENTA;AGREGA;PERREMUN;SOCIOS;PERSONOM;DIRECTO;AGENCIA;APRENDIZ;TOTPERSO;PROMUJ;PROHOM;PERMUJ;PERHOM;DIRMUJ;DIRHOM;AGEMUJ;AGEHOM;APRENMUJ;APRENHOM;TOTMUJ;TOTHOM;SUEPLAN;PREPLAN;REMPLAN;COTIZA;GASAGEN;REMTEMP;TOTREM;INVINI;INVFIN;ROTACION;INVPRO;CTO;CTOINS;VENTASNOP;GASTOS;GASTOSNOP;GASTOPNOP
1227932;4773;476 - 477;14;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1227933;4711-472;471-472;14;2009;0;796661371,3;398115335;212655,3333;6313551,667;9152841,333;466161,6667;69467153,67;1700970,333;23211466,33;72138936,67;5957522;1889886,667;39450580;14818816,67;27291767;0;497011,3333;24648491,33;205526090,3;73563174,33;4839746418;398546036,3;9953,333333;0;7795;2159;6;255;10215;0;0;4150;3645;1051;1107,333333;4,666666667;1;146;108,6666667;5351,666667;4862;159122155,7;39455126,67;188323770,7;29042638,23;250949;44355582;261721990,9;252898749;338939943,3;4043085047;295919346,2;4043085047;4043085047;0;4407356461;82174795,33;4811346308
1227934;473;473;4;2006;0;19897952;7957182,5;5372;0;143246;0;3697432;128371;55387;757819;136942;134971;926567;181896;602140;87464;0;1099575,5;4261410;1648527;154546366;11940769,5;236;0;34;202;0;4;240;0;0;15;19;95;107;0;0;2;2;112;128;1178988;805596;1404555;728353,32;0;3031685;5164593,32;3156897;3185187;134688569;3171042;134688569;134688569;0;144389949;4554699;155377184
1227937;4711-472;471-472;14;2013;0;796661371,3;398115335;212655,3333;6313551,667;9152841,333;466161,6667;69467153,67;1700970,333;23211466,33;72138936,67;5957522;1889886,667;39450580;14818816,67;27291767;0;497011,3333;24648491,33;205526090,3;73563174,33;4839746418;398546036,3;9953,333333;0;7795;2158;6;255;10214;0;0;4150;3645;1051;1107,333333;4,666666667;1;146;108,6666667;5351,666667;4862;159122155,7;39455126,67;188323770,7;29042638,23;250949;44355582;261721990,9;252898749;338939943,3;4043085047;295919346,2;4043085047;4043085047;0;4407356461;82174795,33;4811346308
1227938;464;464-465;5;2003;0;11094994;1760763;879;6944;98771;0;879273;58460;29279;56773;84312;5602;46202;20313;49040;0;0;113124;1310329;531808;32497332;9334231;54;0;54;0;14;0;68;0;0;11;43;0;0;1;13;0;0;12;56;1310329;289372;1599701;212668,64;311791;0;1812369,64;15335820;12675394;21413488;14005607;21413488;21413488;0;23476324;1379792;27088869
1227942;464;464-465;14;2010;0;15814967;4359779,5;41;0;182385;0;1596004;113029;26901;98463;124867;21758;489230;810471;276208;0;0;620422,5;3790096;1743820;72147561;11455187,5;239;0;239;0;0;4;243;0;0;108;131;0;0;0;0;1;3;109;134;3754393;719650;4474043;929125,12;0;0;5403168,12;34718238;30028467;56335442;32373352,5;56335442;56335442;0;62343265;2864372;70741553
1227949;466;466-469;14;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1227963;465;464-465;14;2006;0;-105974;4334;10;0;0;0;4200;0;0;104;10;10;0;0;0;0;0;0;0;0;187152;-110308;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;0;657152;;284214;328576;284214;284214;0;288548;5316;293864
1227975;462;462-463;5;2002;0;1452535;339171,5;0;0;20817;0;108000;12531;4357;4298;8914;1903;92363;1500;21711;0;0;62777,5;415400;167751;4609605;1113363,5;14;0;14;0;0;0;14;0;0;8;6;0;0;0;0;0;0;8;6;415400;99247;514647;58178,72;0;0;572825,72;1050504;1671466;3048913;1360985;3048913;3048913;0;3588810;178793;4366594
1227979;4751-4752;474 - 475;14;2013;0;578516;198796,3333;0;6471,333333;27850,66667;15,33333333;75015;878,6666667;2745,333333;15604;8801,666667;1451;12188,33333;8002,333333;6085,333333;10389,66667;1357;21940,66667;195801,3333;76489,66667;1478599,667;379719,6667;16,33333333;0;7;9;0;0;16;0;0,333333333;5,333333333;2;6,666666667;2,333333333;0;0;0,666666667;0;12,66666667;4,666666667;96374;45810,33333;116924,3333;27662,61333;0;93590;238176,9467;413474,6667;376260,6667;900083,6667;394867,6667;900083,6667;900083,6667;0;1135260;28738,33333;1448804,333
